Name,Components,Type,Category,Description,
accesswidth,reg,longint unsigned,none,Specifies the minimum software access width operation that may be performed on the register.,
activehigh,signal,boolean,none,Signal is active high (state of 1 means ON).,
activelow,signal,boolean,none,Signal is active low (state of 0 means ON).,
addressing,addrmap,addressingtype,none,Specifies how component addresses are to be inferred if not explicitly defined.,
alignment,"addrmap, regfile",longint unsigned,none,Specifies alignment of all instantiated components in the associated register file or address map.,
anded,field,boolean,hw access,Indicates an output signal shall be generated. Logical AND of all bits in field.,
async,signal,boolean,none,Signal is asynchronous to the clock of the component.,
bigendian,addrmap,boolean,none,Uses big-endian architecture in the address map.,
bridge,addrmap,boolean,none,Defines the parent address map as being a bridge. This shall only be applied to the root address map which contains the different views of the sub address maps.,
constraint_disable,constraint,boolean,none,Specifies whether to disable or enable constraints.,
counter,field,boolean,counter,Field implemented as a counter.,
cpuif_reset,signal,boolean,none,"Default signal to use for resetting the software interface logic. If ``cpuif_reset`` is not defined, this reverts to the default reset signal. This parameter only controls the CPU interface of a generated slave.",
decr,field,instance reference,counter,"References the counter’s decrement signal. Use to actually decrement the counter, i.e, the actual counter decrement is controlled by another component or signal (active high).",
decrsaturate,field,"boolean, bit, instance reference",counter,Indicates the counter saturates in the decrementing direction.,
decrthreshold,field,"boolean, bit, instance reference",,Indicates the counter has a threshold in the decrementing direction.,
decrvalue,field,"bit, instance reference",counter,Decrement counter by specified value.,
decrwidth,field,longint unsigned,counter,Width of the interface to hardware to control decrementing the counter externally.,
desc,ALL,string,doc,Describes the component’s purpose.,
dontcompare,field,"boolean, bit",verif,Indicates the components read data shall be discarded and not compared against expected results.,
dontcompare,"addrmap, reg, regfile",boolean,none,Indicates the components read data shall be discarded and not compared against expected results.,
donttest,field,"boolean, bit",verif,Indicates the component should not be included in structural testing.,
donttest,"addrmap, reg, regfile",boolean,none,Indicates the component should not be included in structural testing.,
enable,field,instance reference,interrupt,"Defines an interrupt enable (the inverse of ``mask``); i.e., which bits in an interrupt field are used to assert an interrupt.",
encode,field,enum type reference,misc,Binds an enumeration to a field.,
errextbus,"addrmap, reg, regfile",boolean,none,"The associated register, external regfile, or external addrmap has error input.",
field_reset,signal,boolean,none,"Default signal to use for resetting field implementations. If ``field_reset`` is not defined, this reverts to the default reset signal.",
fieldwidth,field,longint unsigned,hw access,Determines the width of all instances of the field,
haltenable,field,instance reference,interrupt,"Defines a halt enable (the inverse of ``haltmask``); i.e., which bits in an interrupt field are set to de-assert the halt out.",
haltmask,field,instance reference,interrupt,"Defines a halt mask (the inverse of ``haltenable``); i.e., which bits in an interrupt field are set to assert the halt out.",
hdl_path,"addrmap, reg, regfile",string,verif,Assigns the RTL hdl_path.,
hdl_path_gate,"addrmap, reg, regfile",string,verif,Assigns the gate-level hdl_path.,
hdl_path_gate_slice,"field, mem",string[],verif,Assigns a list of gate-level hdl_path.,
hdl_path_slice,"field, mem",string[],verif,Assigns a list of RTL hdl_path.,
